WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Jiayuguan,CN,39.82,98.3,44.44,49,100,4.54,overcast clouds
84,Sawakin,SD,19.11,37.33,88.93,58,0,6.87,clear sky
85,Illapel,CL,-31.63,-71.17,63.88,29,17,6.33,few clouds
86,Bambous Virieux,MU,-20.34,57.76,75.99,78,40,6.93,scattered clouds
87,Bubaque,GW,11.28,-15.83,82.8,74,29,11.34,scattered clouds
88,Palatka,US,29.65,-81.64,71.01,89,100,3.0,light rain
89,Padang,ID,-0.95,100.35,78.53,79,80,3.87,broken clouds
90,Tiksi,RU,71.69,128.87,23.34,95,100,18.63,overcast clouds
91,Fortuna,US,40.6,-124.16,55.0,93,90,3.36,overcast clouds
92,Constitucion,CL,-35.33,-72.42,55.44,48,0,7.94,clear sky
93,Bafoulabe,ML,13.81,-10.83,87.55,60,99,4.74,overcast clouds
94,Bahia Blanca,AR,-38.72,-62.27,52.95,43,100,0.6,overcast clouds
95,New Norfolk,AU,-42.78,147.06,46.0,91,100,2.84,light rain
96,Kontagora,NG,10.4,5.47,88.65,54,44,2.1,scattered clouds
97,Kirchhain,DE,50.82,8.97,57.0,64,4,3.0,clear sky
98,Cabo San Lucas,MX,22.89,-109.91,75.2,64,5,4.7,clear sky
99,Wuwei,CN,37.93,102.64,51.01,37,63,5.44,broken clouds
100,Saskylakh,RU,71.92,114.08,21.04,96,100,10.45,overcast clouds
101,Merauke,ID,-8.47,140.33,78.93,85,100,14.7,light rain
102,Batemans Bay,AU,-35.72,150.18,62.01,88,72,6.13,broken clouds
103,Sioux Lookout,CA,50.1,-91.92,39.2,80,20,9.17,few clouds
104,Sargatskoye,RU,55.61,73.5,34.61,81,100,9.73,overcast clouds
105,Santa Maria,BR,-29.68,-53.81,62.4,82,100,14.29,overcast clouds
106,Svetlaya,RU,46.54,138.33,51.91,71,68,3.62,broken clouds
107,Ipswich,GB,52.06,1.16,52.0,93,100,13.87,light rain
108,Lagoa,PT,39.05,-27.98,70.12,83,98,13.6,light rain
109,Goroka,PG,-6.08,145.39,59.43,86,3,0.36,clear sky
110,Moron,AR,-34.65,-58.62,60.8,59,40,19.46,scattered clouds
111,Chulym,RU,55.1,80.96,37.89,79,98,9.48,overcast clouds
112,Kahului,US,20.89,-156.47,73.99,73,1,6.93,clear sky
113,Longyan,CN,25.11,117.02,73.42,86,42,2.48,light rain
114,Jatiroto,ID,-7.88,111.12,74.75,79,61,7.34,broken clouds
115,Cayenne,GF,4.93,-52.33,89.6,55,20,9.17,few clouds
116,Comodoro Rivadavia,AR,-45.87,-67.5,60.8,31,0,13.87,clear sky
117,East London,ZA,-33.02,27.91,69.8,77,40,13.87,scattered clouds
118,Zhigansk,RU,66.77,123.37,33.35,97,100,6.78,overcast clouds
119,Luderitz,NA,-26.65,15.16,65.39,60,0,18.99,clear sky
120,Gat,IL,31.61,34.76,82.0,47,0,3.0,clear sky
121,Pietersburg,ZA,-23.9,29.47,82.4,45,41,6.93,light rain
122,Clyde River,CA,70.47,-68.59,26.6,79,75,14.99,broken clouds
123,Kjollefjord,NO,70.95,27.35,46.4,79,9,2.77,clear sky
124,Puerto Ayora,EC,-0.74,-90.35,71.01,80,94,5.01,overcast clouds
125,Port Blair,IN,11.67,92.75,81.37,83,60,7.92,broken clouds
126,Havelock,US,34.88,-76.9,62.01,87,90,11.41,overcast clouds
127,Rajo Khanani,PK,24.98,68.85,86.41,54,0,12.59,clear sky
128,Sao Filipe,CV,14.9,-24.5,78.6,71,0,15.17,clear sky
129,Codrington,AU,-38.27,141.97,47.19,92,100,18.21,light rain
130,Freeport,US,40.66,-73.58,66.0,55,1,6.93,clear sky
131,Bathsheba,BB,13.22,-59.52,87.8,66,40,14.99,scattered clouds
132,Kavaratti,IN,10.57,72.64,81.09,69,14,12.66,few clouds
133,San Policarpo,PH,12.18,125.51,80.1,84,100,3.4,overcast clouds
134,Bom Sucesso,BR,-21.03,-44.76,88.27,39,3,9.46,clear sky
135,Kendari,ID,-3.94,122.5,76.03,86,31,3.56,scattered clouds
136,Acapulco,MX,16.86,-99.89,80.6,88,75,3.36,broken clouds
137,Krasnoselkup,RU,65.7,82.47,30.16,96,100,18.07,overcast clouds
138,Barrow,US,71.29,-156.79,35.6,92,90,10.29,mist
139,Tautira,PF,-17.73,-149.15,73.4,73,20,4.7,few clouds
140,Iqaluit,CA,63.75,-68.51,33.8,74,90,13.87,light snow
141,Nikolskoye,RU,59.7,30.79,52.0,81,75,11.18,light intensity shower rain
142,Shimoda,JP,34.67,138.95,64.0,82,23,1.01,few clouds
143,Upernavik,GL,72.79,-56.15,26.24,87,80,3.67,broken clouds
144,Luyang,CN,27.62,110.1,55.92,91,100,7.18,light rain
145,Prince Rupert,CA,54.32,-130.32,50.0,100,90,2.24,overcast clouds
146,Tuktoyaktuk,CA,69.45,-133.04,33.8,100,90,17.22,mist
147,Puerto Madero,MX,14.72,-92.42,77.0,100,75,7.16,broken clouds
148,Khagaria,IN,25.5,86.48,82.08,80,0,2.59,moderate rain
149,Sabalgarh,IN,26.25,77.4,81.73,27,48,2.24,scattered clouds
150,Esperance,AU,-33.87,121.9,48.2,70,40,10.29,scattered clouds
151,Half Moon Bay,US,37.46,-122.43,57.2,100,90,6.93,mist
152,Filadelfia,US,39.95,-75.16,64.99,63,40,3.36,scattered clouds
153,Ambilobe,MG,-13.2,49.05,77.63,77,84,4.72,light rain
154,Qui Nhon,VN,13.77,109.23,80.6,81,100,4.43,overcast clouds
155,Jalu,LY,29.03,21.55,102.54,12,0,7.43,clear sky
156,Chuy,UY,-33.7,-53.46,59.83,64,58,17.78,broken clouds
157,Isla Mujeres,MX,21.23,-86.73,80.6,78,75,12.75,broken clouds
158,Sur,OM,22.57,59.53,82.53,70,0,3.65,clear sky
159,Souillac,MU,-20.52,57.52,75.2,78,40,6.93,scattered clouds
160,Sheridan,US,44.83,-106.92,39.2,30,1,3.6,clear sky
161,Chokurdakh,RU,70.63,147.92,29.28,95,96,14.67,overcast clouds
162,Mapiripan,CO,2.89,-72.13,83.93,69,40,5.55,light rain
163,Alofi,NU,-19.06,-169.92,75.2,88,100,13.87,overcast clouds
164,Dongli,CN,23.57,116.82,80.6,78,1,4.47,light rain
165,Ancud,CL,-41.87,-73.82,48.2,70,20,5.82,few clouds
166,Doha,QA,25.29,51.53,100.4,52,0,8.05,clear sky
167,Lompoc,US,34.64,-120.46,57.2,81,1,2.57,clear sky
168,Avera,US,33.19,-82.53,64.4,63,1,8.05,clear sky
169,Mnogovershinnyy,RU,53.94,139.92,41.25,96,100,11.7,light rain
170,Alice Springs,AU,-23.7,133.88,60.8,87,90,10.29,overcast clouds
171,Broome,US,42.25,-75.83,48.99,75,90,5.82,overcast clouds
172,Naze,JP,28.37,129.48,77.0,83,3,5.82,clear sky
173,Najran,SA,17.49,44.13,89.6,13,0,4.7,clear sky
174,Port Lincoln,AU,-34.73,135.87,50.22,73,59,13.85,broken clouds
175,Xushan,CN,30.18,121.25,68.0,82,40,11.18,scattered clouds
176,Hambantota,LK,6.12,81.12,82.4,74,40,6.93,scattered clouds
177,Kihei,US,20.79,-156.47,73.99,73,1,6.93,clear sky
178,Itarema,BR,-2.92,-39.92,88.74,52,8,18.63,clear sky
179,Pasni,PK,25.26,63.47,81.72,76,0,1.77,clear sky
180,Lakselv,NO,70.05,24.97,50.0,76,1,19.46,clear sky
181,Vao,NC,-22.67,167.48,68.83,81,6,18.88,clear sky
182,Ikwiriri,TZ,-7.96,38.97,81.14,62,81,9.51,broken clouds
183,Malaya Serdoba,RU,52.47,44.95,55.9,57,2,8.48,clear sky
184,Mezen,RU,65.85,44.24,36.43,83,0,5.95,clear sky
185,Meadow Lake,US,34.8,-106.54,55.0,38,1,8.05,clear sky
186,Vardo,NO,70.37,31.11,46.4,87,0,10.29,clear sky
187,Umm Kaddadah,SD,13.6,26.69,88.75,38,50,18.92,light rain
188,Georgetown,MY,5.41,100.34,84.2,74,20,3.36,few clouds
189,Manggar,ID,-2.88,108.27,80.44,83,100,7.34,overcast clouds
190,Hobyo,SO,5.35,48.53,80.08,82,1,15.5,clear sky
191,Nha Trang,VN,12.25,109.18,78.8,94,75,1.12,light rain
192,Okhotsk,RU,59.38,143.3,41.81,78,89,3.02,overcast clouds
193,Ponta Do Sol,PT,32.67,-17.1,73.4,78,40,11.41,light intensity drizzle
194,Viedma,AR,-40.81,-63.0,49.77,49,100,6.08,overcast clouds
195,Texarkana,US,33.43,-94.05,64.0,82,75,4.74,broken clouds
196,Camabatela,AO,-8.19,15.38,80.6,57,79,5.08,broken clouds
197,Bratsk,RU,56.13,101.61,35.6,74,50,2.24,scattered clouds
198,Severo-Kurilsk,RU,50.68,156.12,51.15,90,64,9.86,broken clouds
199,Fairbanks,US,64.84,-147.72,41.0,93,1,3.4,clear sky
200,Shelburne,CA,44.08,-80.2,46.0,93,90,9.15,light rain
201,Sobolevo,RU,54.43,31.9,59.11,66,100,14.97,overcast clouds
202,Gravelbourg,CA,49.88,-106.55,53.78,50,100,13.09,overcast clouds
203,Chapais,CA,49.78,-74.85,35.6,66,90,4.7,overcast clouds
204,San Patricio,MX,19.22,-104.7,80.6,83,5,9.17,clear sky
205,Srednekolymsk,RU,67.45,153.68,28.31,89,37,3.98,scattered clouds
206,Kungurtug,RU,50.6,97.52,27.48,89,0,1.43,clear sky
207,Vila Franca Do Campo,PT,37.72,-25.43,71.6,73,40,8.05,scattered clouds
208,Anadyr,RU,64.75,177.48,30.2,80,90,4.47,light snow
209,Berlevag,NO,70.86,29.09,48.11,77,0,7.65,clear sky
210,Sabang,ID,5.89,95.32,83.25,77,12,13.94,few clouds
211,Leningradskiy,RU,69.38,178.42,28.49,95,100,12.84,overcast clouds
212,Sitka,US,57.05,-135.33,51.8,76,90,11.41,light rain
213,Nuqui,CO,5.71,-77.27,77.68,83,100,3.78,overcast clouds
214,Dhar,IN,22.6,75.3,82.4,54,20,4.7,haze
215,Golden,US,39.76,-105.22,57.0,37,5,3.33,clear sky
216,Grand Gaube,MU,-20.01,57.66,75.99,72,25,1.01,scattered clouds
217,Carnarvon,AU,-24.87,113.63,64.4,72,0,18.34,clear sky
218,Muros,ES,42.78,-9.06,63.0,71,70,4.0,broken clouds
219,Dourbali,TD,11.81,15.86,97.21,29,93,2.8,overcast clouds
220,Osa,RU,57.28,55.46,36.61,81,22,3.44,few clouds
221,Puerto Carreno,CO,6.19,-67.49,86.47,68,94,2.39,overcast clouds
222,Newton Abbot,GB,50.53,-3.61,52.0,9,100,29.89,overcast clouds
223,Faanui,PF,-16.48,-151.75,76.86,79,4,16.08,clear sky
224,Saint-Augustin,CA,51.23,-58.65,45.7,70,90,5.35,overcast clouds
225,Lasa,IT,46.62,10.7,57.0,87,75,10.29,broken clouds
226,Senanga,ZM,-16.12,23.27,100.85,11,83,7.14,broken clouds
227,Bud,US,39.45,-86.18,53.6,76,90,4.7,overcast clouds
228,Monrovia,LR,6.3,-10.8,86.0,74,75,12.75,broken clouds
229,Batsfjord,NO,70.63,29.72,46.4,87,0,10.29,clear sky
230,Sovetskiy,RU,61.36,63.58,34.2,83,97,6.02,overcast clouds
231,Hirara,JP,24.8,125.28,80.76,76,15,14.85,few clouds
232,Tuatapere,NZ,-46.13,167.68,44.01,97,52,7.49,broken clouds
233,Dwarka,IN,22.24,68.97,82.49,74,0,10.42,clear sky
234,Fergus Falls,US,46.28,-96.08,41.0,86,1,6.93,clear sky
235,Cabedelo,BR,-6.98,-34.83,86.0,55,40,11.41,scattered clouds
236,Batavia,US,41.85,-88.31,45.0,75,75,14.99,broken clouds
237,Ostersund,SE,63.18,14.64,48.2,100,90,13.87,mist
238,Ulladulla,AU,-35.35,150.47,59.0,77,90,2.24,overcast clouds
239,Salym,RU,60.06,71.48,31.5,97,100,10.27,overcast clouds
240,Dod Ballapur,IN,13.29,77.54,75.2,83,75,10.29,broken clouds
241,Bengkulu,ID,-3.8,102.27,78.12,89,100,12.35,light rain
242,Guerrero Negro,MX,27.98,-114.06,78.8,51,0,8.59,clear sky
243,Bandarbeyla,SO,9.49,50.81,78.96,82,55,9.46,light rain
244,Tommot,RU,58.96,126.29,28.11,90,16,2.75,few clouds
245,Nanortalik,GL,60.14,-45.24,37.8,78,97,4.21,overcast clouds
246,Arica,CL,-18.48,-70.3,64.0,77,90,4.7,overcast clouds
247,Richards Bay,ZA,-28.78,32.04,68.54,89,100,12.5,light rain
248,Turayf,SA,31.67,38.66,86.0,28,0,9.17,clear sky
249,General Pico,AR,-35.66,-63.76,41.47,84,100,7.58,light rain
250,Mount Isa,AU,-20.73,139.5,69.8,43,0,10.31,clear sky
251,Baillif,GP,16.02,-61.75,86.0,66,100,16.11,overcast clouds
252,Vadum,DK,57.12,9.86,57.99,89,100,3.0,overcast clouds
253,Arlit,NE,18.74,7.39,102.11,16,91,2.68,overcast clouds
254,Gornopravdinsk,RU,60.05,69.9,31.48,95,87,6.71,overcast clouds
255,Ilulissat,GL,69.22,-51.1,30.2,58,37,8.05,scattered clouds
256,Thompson,CA,55.74,-97.86,41.0,86,90,10.29,light rain
257,Buchanan,LR,5.88,-10.05,86.0,74,75,12.75,broken clouds
258,Kibangay,PH,8.05,124.89,78.01,88,82,5.01,moderate rain
259,Sao Joao Da Barra,BR,-21.64,-41.05,80.6,74,75,11.41,broken clouds
260,Vrangel,RU,42.73,133.08,48.58,72,67,17.16,broken clouds
261,Mishelevka,RU,52.86,103.17,32.27,89,0,4.7,clear sky
262,Hearst,CA,49.68,-83.67,40.32,67,0,3.0,clear sky
263,Kozhanka,UA,49.98,29.74,68.0,68,23,8.95,few clouds
264,Thiers,FR,45.83,3.5,57.2,54,75,16.11,broken clouds
265,Camacha,PT,33.08,-16.33,75.2,73,40,19.46,scattered clouds
266,Nioro,GM,13.35,-15.75,87.94,63,72,2.33,light rain
267,Los Llanos De Aridane,ES,28.66,-17.92,78.8,69,20,12.75,few clouds
268,Bien Hoa,VN,10.95,106.82,77.0,94,75,2.24,moderate rain
269,Bolisong,PH,9.69,123.15,80.56,78,100,3.47,moderate rain
270,Rosetta,EG,31.4,30.42,84.2,62,0,13.87,clear sky
271,Yerbogachen,RU,61.28,108.01,37.67,90,100,8.03,overcast clouds
272,Lata,PT,40.16,-8.33,64.0,63,100,5.99,overcast clouds
273,Labuhan,ID,-6.88,112.21,81.37,69,39,4.68,scattered clouds
274,Pahrump,US,36.21,-115.98,77.0,12,1,3.36,clear sky
275,Llanes,ES,43.42,-4.75,59.0,71,100,23.89,light rain
276,Waingapu,ID,-9.66,120.26,77.63,73,95,4.76,overcast clouds
277,Flin Flon,CA,54.77,-101.86,46.4,70,90,14.99,overcast clouds
278,Hithadhoo,MV,-0.6,73.08,82.65,72,97,3.49,light rain
279,Kalmunai,LK,7.42,81.82,81.77,72,17,3.96,few clouds
280,Dire Dawa,ET,9.59,41.87,76.6,29,0,14.36,clear sky
281,Victoria,HK,22.29,114.16,84.0,80,14,2.71,light rain
282,Cobija,BO,-11.03,-68.77,95.5,40,6,2.17,clear sky
283,Laguna,US,38.42,-121.42,59.0,51,5,1.81,smoke
284,Lavrentiya,RU,65.58,-171.0,34.03,89,5,9.48,clear sky
285,Laishevo,RU,55.4,49.55,42.8,48,0,6.71,clear sky
286,Inuvik,CA,68.35,-133.72,35.6,100,75,3.36,broken clouds
287,Deputatskiy,RU,69.3,139.9,20.17,98,44,5.03,scattered clouds
288,Miraflores,MX,19.22,-98.81,55.4,71,75,5.82,broken clouds
289,Kruisfontein,ZA,-34.0,24.73,73.99,64,2,5.01,clear sky
290,Te Anau,NZ,-45.42,167.72,50.13,87,95,7.2,overcast clouds
291,Maarianhamina,AX,60.1,19.93,57.2,87,90,14.99,overcast clouds
292,Bhayavadar,IN,21.85,70.25,80.76,73,0,7.85,clear sky
293,Salinopolis,BR,-0.61,-47.36,85.69,66,19,12.66,few clouds
294,Esil,KZ,51.96,66.4,38.66,71,0,11.48,clear sky
295,Asau,RO,46.43,26.4,70.0,83,46,4.94,scattered clouds
296,Aripuana,BR,-9.17,-60.63,100.62,34,82,2.53,broken clouds
297,Port Hedland,AU,-20.32,118.57,69.8,15,0,9.17,clear sky
298,Arhus,DK,56.16,10.21,62.6,77,100,6.93,overcast clouds
299,Renfrew,GB,55.87,-4.39,60.8,72,91,11.41,overcast clouds
300,Nelson Bay,AU,-32.72,152.15,64.99,77,0,6.93,clear sky
301,Coquimbo,CL,-29.95,-71.34,57.2,62,88,8.05,overcast clouds
302,Marsh Harbour,BS,26.54,-77.06,83.44,77,94,18.79,overcast clouds
303,Hisor,TJ,38.52,68.55,64.4,31,37,4.47,scattered clouds
304,Porbandar,IN,21.64,69.61,82.42,73,0,9.6,clear sky
305,Mayo,US,38.89,-76.51,64.0,72,1,4.7,clear sky
306,Piacabucu,BR,-10.41,-36.43,82.9,60,53,10.92,broken clouds
307,Kichmengskiy Gorodok,RU,59.98,45.79,38.86,79,0,3.83,clear sky
308,Hualmay,PE,-11.1,-77.61,66.18,69,30,7.9,scattered clouds
309,Shimorskoye,RU,55.32,42.03,54.23,74,97,6.91,overcast clouds
310,Ouadda,CF,8.08,22.4,74.52,88,100,1.36,light rain
311,Marzuq,YE,14.4,46.47,80.44,25,12,9.64,few clouds
312,Lagos,NG,6.58,3.75,83.61,71,100,6.11,light rain
313,Ouegoa,NC,-20.35,164.43,69.58,78,1,10.76,clear sky
314,Linkoping,SE,58.41,15.62,59.0,93,75,11.41,mist
315,Norman Wells,CA,65.28,-126.83,41.0,93,75,13.24,broken clouds
316,Calama,CL,-22.47,-68.93,73.4,10,0,14.99,clear sky
317,Rendsburg,DE,54.3,9.67,57.2,71,75,5.82,broken clouds
318,Eydhafushi,MV,5.1,73.07,82.45,77,4,11.72,clear sky
319,Oktyabrskoye,RU,43.06,44.74,64.4,72,40,6.71,scattered clouds
320,Khartoum,SD,15.55,32.53,100.0,22,20,8.05,few clouds
321,Lermontovka,RU,47.15,134.34,48.83,64,100,5.59,light rain
322,Kharan,PK,28.58,65.42,76.55,17,0,3.33,clear sky
323,Kieta,PG,-6.22,155.63,79.36,79,9,5.79,light rain
324,Clarksburg,US,39.28,-80.34,55.99,87,75,4.0,broken clouds
325,Mount Gambier,AU,-37.83,140.77,46.4,93,75,12.75,light rain
326,Borgo San Dalmazzo,IT,44.33,7.49,59.0,72,88,5.82,overcast clouds
327,Sept-Iles,CA,50.2,-66.38,48.0,49,75,10.29,broken clouds
328,Baykit,RU,61.67,96.37,41.92,88,100,5.75,overcast clouds
329,La Ronge,CA,55.1,-105.28,51.8,66,75,8.05,broken clouds
330,Lorengau,PG,-2.02,147.27,82.29,78,28,8.08,scattered clouds
331,Maudaha,IN,25.68,80.12,86.99,32,70,6.38,broken clouds
332,Tasiilaq,GL,65.61,-37.64,37.4,64,0,2.91,clear sky
333,Alta Floresta,BR,-9.88,-56.09,104.31,16,3,6.4,clear sky
334,Hecun,CN,36.53,114.11,53.58,37,0,2.59,light rain
335,Meulaboh,ID,4.14,96.13,79.38,81,75,4.88,heavy intensity rain
336,Alnavar,IN,15.43,74.73,71.6,88,75,6.93,broken clouds
337,Beringovskiy,RU,63.05,179.32,33.15,89,92,12.64,overcast clouds
338,Saint-Georges,GD,12.06,-61.75,86.0,74,40,16.11,scattered clouds
339,Sokoni,TZ,-6.43,39.55,78.44,77,50,9.33,scattered clouds
340,Neuquen,AR,-38.95,-68.06,35.6,100,90,1.12,light rain
341,Poum,NC,-20.23,164.02,72.05,74,1,10.51,light rain
342,Shubarshi,KZ,48.59,57.19,58.64,46,0,7.63,clear sky
343,Muzhi,RU,65.37,64.67,36.01,83,100,17.18,overcast clouds
344,Atyrau,KZ,47.12,51.88,62.6,23,88,6.71,overcast clouds
345,North Myrtle Beach,US,33.82,-78.68,62.6,72,90,11.41,overcast clouds
346,Roald,NO,62.58,6.13,66.0,63,87,6.93,overcast clouds
347,Leshukonskoye,RU,64.9,45.76,35.69,84,0,4.54,clear sky
348,Bairiki,KI,1.33,172.98,78.8,88,75,4.81,broken clouds
349,Saint Anthony,US,45.02,-93.22,45.0,70,5,6.93,clear sky
350,Nizwa,OM,22.93,57.53,89.73,18,0,8.52,clear sky
351,Moree,AU,-29.47,149.85,66.2,45,0,13.87,clear sky
352,Yamada,JP,39.47,141.95,63.16,85,100,7.54,heavy intensity rain
353,Maanshan,CN,31.7,118.5,63.0,59,20,4.47,light rain
354,Notre-Dame-Du-Lac,CA,47.61,-68.8,41.0,65,90,3.51,overcast clouds
355,Touros,BR,-5.2,-35.46,86.0,58,40,10.29,scattered clouds
356,Mahon,ES,39.89,4.27,69.8,43,16,21.92,few clouds
357,Agirish,RU,61.92,63.02,33.22,86,100,4.81,overcast clouds
